Année mois;N° facture;N° compte expéditeur;Date expédition colis;N° envoi;Facture(F) ou avoir(A);N° compte facturé;Devise;Référence client;Date de facturation;Date d'échéance;Raison sociale expéditeur;Adresse 1 expéditeur;Adresse 2 expéditeur;Pays expéditeur;Département expéditeur;CP expéditeur;Ville expéditeur;Raison Sociale destinataire;Adresse 1 destinataire;Adresse 2 destinataire;Pays destinataire;Département destinataire;CP destinataire;Ville destinataire;Votre référence;Bon de transport;Poids;Service;Nb colis dans l'envoi;Montant h.t. Total;Montant t.v.a. Total;Montant t.t.c. Total;Prix h.t. du transport;Montant h.t.options et surcharges Total;SFU
201808;956443651;AB5612GG124;20180801;2,01808E+13;F;AB5612GG124;EUR;;20180831;20180928;RGS;590 AV AUGUSTE ROIRET;ZA DU TOURRAIS;FR;69;69290;CRAPONNE;SOCIETE 1;52 RUE DE LA CLOCHE;;FR;69;69004;LYON;R5268394;69AB5612GG124683895;.10 ;EXP;1;3,93;0,79;4,72;3,42;0,51;0,11
201808;956443651;AB5612GG124;20180801;2,01808E+13;F;AB5612GG124;EUR;;20180831;20180928;RGS;590 AV AUGUSTE ROIRET;ZA DU TOURRAIS;FR;69;69290;CRAPONNE;AEROGARE POUR SOCIETE;18 ROUTE DE PARIS QUAI D1;M MARTIN 0600000000/0600000000;FR;95;95700;ROISSY CHARLES DE GAULLE;R5269291;95AB5612GG124694069;2.20 ;EXP;1;4,78;0,96;5,74;4,24;0,54;0,14
201808;956443651;AB5612GG124;20180801;2,01808E+13;F;AB5612GG124;EUR;;20180831;20180928;RGS;590 AV AUGUSTE ROIRET;ZA DU TOURRAIS;FR;69;69290;CRAPONNE;SOCIETE 2;100 AVENUE JEAN MOULIN;;FR;77;77190;DAMMARIE LES LYS;R5268994;77AB5612GG124686811;2.40 ;EXP;1;4,78;0,96;5,74;4,24;0,54;0,14
201808;956443651;AB5612GG124;20180801;2,01808E+13;F;AB5612GG124;EUR;;20180831;20180928;RGS;590 AV AUGUSTE ROIRET;ZA DU TOURRAIS;FR;69;69290;CRAPONNE;SOCIETE 3;69 CENTRE COMMERCIAL;LE VAL DE MARNE;FR;78;78540;VERNOUILLET;R5269036;78AB5612GG124689073;4.90 ;EXP;0;0,4;0,08;0,48;0;0,4;0
201808;956443651;AB5612GG124;20180802;2,01808E+13;F;AB5612GG124;EUR;;20180831;20180928;RGS;590 AV AUGUSTE ROIRET;ZA DU TOURRAIS;FR;69;69290;CRAPONNE;SOCIETE 4;5 RUE DU JARDIN DES PRES;;FR;77;77340;PONTAULT COMBAULT;R5269777;77AB5612GG124703347;.20 ;EXP;1;3,93;0,79;4,72;3,42;0,51;0,11
201808;956443651;AB5612GG124;20180802;2,01808E+13;F;AB5612GG124;EUR;;20180831;20180928;RGS;590 AV AUGUSTE ROIRET;ZA DU TOURRAIS;FR;69;69290;CRAPONNE;SOCIETE 2;100 AVENUE JEAN MOULIN;;FR;77;77190;DAMMARIE LES LYS;R5269380;77AB5612GG124699016;2.00 ;EXP;1;4,64;0,93;5,57;4,11;0,53;0,13
201808;956443651;AB5612GG124;20180802;2,01808E+13;F;AB5612GG124;EUR;;20180831;20180928;RGS;590 AV AUGUSTE ROIRET;ZA DU TOURRAIS;FR;69;69290;CRAPONNE;SOCIETE SERVICE;POUR SOCIETE SERVICE;17 AVENUE FOCH;FR;78;78450;CHAVENAY;R5269244;78AB5612GG124695648;.10 ;EXP;1;3,93;0,79;4,72;3,42;0,51;0,11
201808;956443651;AB5612GG124;20180802;2,01808E+13;F;AB5612GG124;EUR;;20180831;20180928;RGS;590 AV AUGUSTE ROIRET;ZA DU TOURRAIS;FR;69;69290;CRAPONNE;SOCIETE MAINTENANCE TECHNIQUE;AGENCE LYON;35 ALLEE DES HESPERIDES;FR;69;69673;BRON;R5269810;69AB5612GG124701572;.30 ;EXP;1;3,93;0,79;4,72;3,42;0,51;0,11
201808;956443651;AB5612GG124;20180802;2,01808E+13;F;AB5612GG124;EUR;;20180831;20180928;RGS;590 AV AUGUSTE ROIRET;ZA DU TOURRAIS;FR;69;69290;CRAPONNE;A01;37 BOULEVARD VIVIER MERLE;;FR;49;49000;ANGERS;R5269616;49AB5612GG124699964;12.20 ;EXP;0;0,4;0,08;0,48;0;0,4;0
201808;956443651;AB5612GG124;20180802;2,01808E+13;F;AB5612GG124;EUR;;20180831;20180928;RGS;590 AV AUGUSTE ROIRET;ZA DU TOURRAIS;FR;69;69290;CRAPONNE;A01;37 BOULEVARD VIVIER MERLE;;FR;49;49000;ANGERS;R5269616;49AB5612GG124699950;9.80 ;EXP;0;0,74;0,15;0,89;0;0,74;0
